Player,Position,Team
Tua Tagovailoa,QB,Atl
Shedeur Sanders,QB,Cle
Deshaun Watson,QB,Cle
Kirk Cousins,QB,LV
Carson Beck,QB,Ari
Justin Fields,QB,KC
Carson Wentz,QB,Min
Joe Flacco,QB,Cin
J.J. McCarthy,QB,Min
Mac Jones,QB,SF
Spencer Rattler,QB,NO
Marcus Mariota,QB,Was
Jake Browning,QB,TB
Russell Wilson,QB,NYG
Tyrod Taylor,QB,GB
Davis Mills,QB,Hou
Tyler Huntley,QB,Bal
Anthony Richardson Sr.,QB,Ind
Quinn Ewers,QB,Jax
Jameis Winston,QB,NYG
Drew Lock,QB,Sea
Will Levis,QB,Ten
Aidan O'Connell,QB,LV
Dillon Gabriel,QB,Cle
Hunter Dekkers,QB,NO
Brett Rypien,QB,Hou
Sam Hartman,QB,Was
Taylen Green,QB,Cle
Matthew Caldwell,QB,LAR
Austin Reed,QB,Bal
Adrian Martinez,QB,SF
Kedon Slovis,QB,GB
Jeff Driskel,QB,Was
Jake Retzlaff,QB,Sea
Kyle McCord,QB,Mia
Will Howard,QB,Pit
Athan Kaliakmanis,QB,Was
Cole Payton,QB,Phi
Stetson Bennett IV,QB,LAR
Kyle Allen,QB,Buf
John Wolford,QB,Min
Drew Allar,QB,Pit
Miller Moss,QB,Chi
Carter Bradley,QB,Jax
Mark Gronowski,QB,Mia
Chandler Morris,QB,TB
Garrett Nussmeier,QB,KC
Tommy DeVito,QB,NE
Shane Buechele,QB,Buf
Joe Fagnano,QB,Bal
Ken Seals,QB,KC
Ty Simpson,QB,LAR
Jacob Clark,QB,LV
Kurtis Rourke,QB,SF
Case Keenum,QB,Chi
Cade Klubnik,QB,NYJ
Sam Howell,QB,Dal
Joey Aguilar,QB,Jax
Haynes King,QB,Car
DJ Uiagalelei,QB,LAC
Jack Strand,QB,Atl
Trevor Siemian,QB,Ten
Bailey Zappe,QB,NYJ
Will Grier,QB,Dal
Hendon Hooker,QB,Ten
Easton Stick,QB,TB
Graham Mertz,QB,Hou
Luke Altmyer,QB,Det
Teddy Bridgewater,QB,TB
Chris Oladokun,QB,KC
Sam Ehlinger,QB,Den
Sean Clifford,QB,SF
Brandon Allen,QB,NYG
Kyle Trask,QB,Car
Diego Pavia,QB,Bal
Behren Morton,QB,NE
Sawyer Robertson,QB,LV
E.J. Warner,QB,Den
Jarrett Stidham,QB,Den
Skylar Thompson,QB,Bal
Cam Miller,QB,Mia
Jalon Daniels,QB,TB
Kyron Drones,QB,GB
Nathan Peterman,QB,Atl
Seth Henigan,QB,Ind
Kaidon Salter,QB,Ten
Connor Bazelak,QB,TB
Brady Cook,QB,Mia
Desmond Ridder,QB,GB
Riley Leonard,QB,Ind
Mitchell Trubisky,QB,Ten
Jake Haener,QB,NYG
Josh Johnson,QB,Cin
Tyson Bagent,QB,Chi
Clayton Tune,QB,GB
Mason Rudolph,QB,Pit
Tanner McKee,QB,Phi
Andy Dalton,QB,Phi
Joe Milton III,QB,Dal
Trey Lance,QB,LAC
Cooper Rush,QB,Atl
Max Brosmer,QB,Min
Kenny Pickett,QB,Car
Gardner Minshew II,QB,Ari
Joshua Dobbs,QB,Det
Zach Wilson,QB,NO
Jimmy Garoppolo,QB,LAR
Jalen Milroe,QB,Sea
Nick Mullens,QB,Jax
