Player,Position,Team
Jackson Meeks,"WR, TE",Det
Justin Shorter,"WR, TE",LV
Jake Tonges,TE,SF
Eli Stowers,TE,Phi
Marlin Klein,TE,Hou
Darnell Washington,TE,Pit
Elijah Arroyo,TE,Sea
Mike Gesicki,TE,Cin
Mason Taylor,TE,NYJ
Erick All Jr.,TE,Cin
Oscar Delp,TE,NO
Theo Johnson,TE,NYG
Zach Ertz,TE,Was
Tyler Higbee,TE,LAR
Jonnu Smith,TE,GB
Dawson Knox,TE,Buf
Noah Fant,TE,NO
Taysom Hill,TE,NO
Cole Kmet,TE,Chi
Josh Oliver,TE,Min
Austin Hooper,TE,Atl
Brock Wright,TE,Det
Tanner Hudson,TE,Cin
Ja'Tavion Sanders,TE,Car
Daniel Bellinger,TE,Ten
Tommy Tremble,TE,Car
Hunter Long,TE,Ari
Jackson Hawes,TE,Buf
Adam Trautman,TE,Den
Tyler Conklin,TE,Det
Noah Gray,TE,KC
Mitchell Evans,TE,Car
Davis Allen,TE,LAR
Ben Sinnott,TE,Was
Elijah Higgins,TE,Ari
Will Dissly,TE,LAC
Luke Musgrave,TE,GB
Nick Vannett,TE,Bal
CJ Dippre,TE,TB
Carsen Ryan,TE,Cle
RJ Maryland,TE,GB
Carson Towt,TE,Ind
Evan Svoboda,TE,LAC
Thomas Fidone II,TE,NYG
Chris Myarick,TE,LV
Albert Okwuegbunam Jr.,TE,LV
Bauer Sharp,TE,TB
Lance Mason,TE,Pit
Marcedes Lewis,TE,Den
DJ Rogers,TE,Dal
Josh Cuevas,TE,Bal
Messiah Swinson,TE,Cle
Tanner Arkin,TE,NE
Johnny Pascuzzi,TE,LAC
Connor Hulstein,TE,NYJ
Chamon Metayer,TE,Car
Devin Culp,TE,TB
Sal Cannella,TE,Cle
Ademola Faleye,TE,TB
Justin Joly,TE,Mia
Treyton Welch,TE,NO
Mitch Van Vooren,TE,NE
Jared Wiley,TE,KC
Tre Watson,TE,Mia
Robert Tonyan,TE,Pit
Nikola Kalinic,TE,Chi
Sam Roush,TE,Chi
Eni Falayi,TE,GB
Patrick Gurd,TE,LV
E.J. Jenkins,TE,Phi
Matt Hibner,TE,Bal
Bryson Nesbit,TE,Min
Tanner Koziol,TE,Jax
Rivaldo Fairweather,TE,Ari
Travis Vokolek,TE,Ari
Dallen Bentley,TE,Den
James Mitchell,TE,Dal
Nate Boerkircher,TE,Jax
Matt Lauter,TE,Min
Tyree Jackson,TE,Was
Michael Trigg,TE,Dal
Caden Prieskorn,TE,Car
Khalil Dinkins,TE,SF
Joshua Simon,TE,Was
DeShawn Hanika,TE,Ind
Zaire Mitchell-Paden,TE,Hou
Joel Wilson,TE,Ten
Stone Eby,TE,Den
Brandon Frazier,TE,Atl
Baylor Cupp,TE,Ari
Hayden Rucci,TE,Jax
Luke Lachey,TE,Hou
McCallan Castles,TE,GB
Keleki Latu,TE,Buf
Nick Kallerup,TE,Sea
Tre' McKitty,TE,Was
Nick Muse,TE,Atl
Brett Weaver,TE,Den
Max Klare,TE,LAR
Kenny Fletcher Jr.,TE,TB
Zack Kuntz,TE,Dal
Jaren Kanak,TE,Ten
Chase Curtis,TE,NYJ
Jerand Bradley,TE,LAC
Hayden Large,TE,Chi
Jake Briningstool,TE,KC
Louis Hansen,TE,Hou
Ty Pezza,TE,Bal
Miles Kitselman,TE,Det
Marshall Lang,TE,Min
Thomas Gordon,TE,Det
Dan Villari,TE,LAR
Drake Dabney,TE,GB
Drew Biber,TE,Cle
Josh Kattus,TE,Cin
Lake McRee,TE,Pit
Patrick Herbert,TE,LAC
Jameson Geers,TE,Ari
Jack Endries,TE,Cin
Shawn Bowman,TE,Ari
Zach Horton,TE,Det
Heinrich Haarberg,TE,Car
Layne Pryor,TE,Hou
Teagan Quitoriano,TE,Ari
Princeton Fant,TE,Dal
JJ Galbreath,TE,Ind
Quentin Moore,TE,Was
Jeremiah Franklin,TE,Mia
John Michael Gyllenborg,TE,KC
Moliki Matavao,TE,NO
Jermaine Terry,TE,Cle
Sean McKeon,TE,Ind
Jelani Woods,TE,NYJ
Tanner McLachlan,TE,SF
Rohan Jones,TE,LAR
Cody Hardy,TE,NO
Cole Turner,TE,Mia
Jack Velling,TE,Atl
Lawrence Cager,TE,Was
Gavin Bartholomew,TE,Min
Mark Redman,TE,GB
Ethan Conner,TE,Mia
Stephen Carlson,TE,Chi
Caleb Lohner,TE,Den
Dae'Quan Wright,TE,Cle
Jalin Conyers,TE,Mia
Mason Pline,TE,KC
Joe Royer,TE,Cle
Will Kacmarek,TE,Mia
Seydou Traore,TE,Mia
Brevin Jordan,TE,Hou
Thomas Yassmin,TE,GB
Bryce Pierre,TE,Car
Ko Kieft,TE,TB
Tyler Moore,TE,Ind
Donald Parham Jr.,TE,Pit
Shane Zylstra,TE,NE
Qadir Ismail,TE,Chi
Jeremy Ruckert,TE,NYJ
Grant Calcaterra,TE,Phi
Kenny Yeboah,TE,Ari
Ian Thomas,TE,LV
Josh Whyle,TE,GB
Chris Manhertz,TE,NYG
Mo Alie-Cox,TE,Ind
Ben Sims,TE,Mia
Foster Moreau,TE,Hou
Cam Grandy,TE,Min
Drew Sample,TE,Cin
Nate Adkins,TE,Den
Pharaoh Brown,TE,Ind
Jaheim Bell,TE,Pit
Will Mallory,TE,Ind
Cade Stover,TE,Hou
Anthony Firkser,TE,Det
John Bates,TE,Was
Riley Nowakowski,"RB, TE",Pit
Robbie Ouzts,"RB, TE",Sea
Luke Schoonmaker,TE,Dal
John FitzPatrick,TE,GB
Julian Hill,TE,NE
Stone Smartt,TE,NO
Luke Farrell,TE,SF
Johnny Mundt,TE,Phi
Brenden Bates,TE,Cle
Tanner Conner,TE,NYG
Quintin Morris,TE,Jax
Josiah Deguara,TE,SF
Brevyn Spann-Ford,TE,Dal
Jack Stoll,TE,Cle
Drew Ogletree,TE,Ind
Charlie Woerner,TE,Atl
Payne Durham,TE,TB
Lucas Krull,TE,Den
Eric Saubert,TE,Sea
David Martin-Robinson,TE,Ten
Tip Reiman,TE,Ari
Durham Smythe,TE,Bal
Ben Yurosek,TE,Min
Kylen Granson,TE,Ten
Tucker Fisk,TE,LAC
Harrison Bryant,TE,Hou
Carter Runyon,TE,LV
Blake Whiteheart,TE,Cle
Cameron Latu,TE,NE
Colson Yankoff,TE,Was
Feleipe Franks,TE,Car
Brayden Willis,TE,SF
Jack Westover,"RB, TE",Was
Brady Russell,"RB, TE",Sea
