Player,Position,Team
Ricky Pearsall,WR,SF
Jayden Higgins,WR,Hou
Joshua Palmer,WR,Buf
DeMario Douglas,WR,NE
Xavier Hutchinson,WR,Hou
Malik Benson,WR,LV
Tory Horton,WR,Sea
Darius Slayton,WR,NYG
Troy Franklin,WR,Den
Elijah Sarratt,WR,Bal
Skyler Bell,WR,Buf
Brenen Thompson,WR,LAC
Ashton Dulin,WR,Ind
Andrei Iosivas,WR,Cin
Chimere Dike,WR,Ten
Elic Ayomanor,WR,Ten
Luke McCaffrey,WR,Was
Kyle Williams,WR,NE
Christian Kirk,WR,SF
Isaiah Bond,WR,Cle
Marvin Mims Jr.,WR,Den
Colbie Young,WR,Cin
Brandon Aiyuk,WR,SF
CJ Daniels,WR,LAR
Savion Williams,WR,GB
Zavion Thomas,WR,Chi
Roman Wilson,WR,Pit
Kendrick Bourne,WR,Ari
Hollywood Brown,WR,Phi
Kalif Raymond,WR,Chi
Mack Hollins,WR,NE
Calvin Austin III,WR,NYG
Greg Dortch,WR,Buf
KaVontae Turpin,WR,Dal
Sterling Shepard,WR,Hou
Olamide Zaccheaus,WR,Atl
Kevin Austin Jr.,WR,NO
Cedric Tillman,WR,NO
Devontez Walker,WR,Bal
Tez Johnson,WR,TB
Hunter Renfrow,WR,Car
Gabe Davis,WR,Buf
John Metchie III,WR,Car
Jalen Tolbert,WR,Mia
DeAndre Hopkins,WR,Bal
Demarcus Robinson,WR,SF
Lil'Jordan Humphrey,WR,Den
Van Jefferson,WR,Was
Jahdae Walker,WR,Chi
Tyler Johnson,WR,Dal
Tim Patrick,WR,NYJ
JuJu Smith-Schuster,WR,NYG
Josh Reynolds,WR,NYJ
Tutu Atwell,WR,LAR
Tyler Lockett,WR,LV
Tyrell Shavers,WR,Buf
Brandin Cooks,WR,NO
Mitch Tinsley,WR,Hou
Noah Brown,WR,LV
Marquez Valdes-Scantling,WR,Dal
Bub Means,WR,NO
Dyami Brown,WR,Was
David Sills V,WR,TB
Isaiah Hodgins,WR,NYG
Elijah Moore,WR,Phi
David Moore,WR,Car
Jackson Meeks,"WR, TE",Det
Justin Shorter,"WR, TE",LV
Zay Jones,WR,Hou
Chris Moore,WR,Bal
Curtis Samuel,WR,Buf
Ainias Smith,WR,Car
Ray-Ray McCloud III,WR,Chi
Malik Heath,WR,Atl
Xavier Restrepo,WR,Ten
Jeremiah Webb,WR,NE
Vinny Anthony II,WR,Atl
Trayvon Rudolph,WR,Min
Courtney Jackson,WR,Ten
Montrell Washington,WR,NYG
A.T. Perry,WR,Den
Juwann Winfree,WR,Hou
Cortez Braham Jr.,WR,Bal
Wesley Grimes,WR,SF
Dohnte Meyers,WR,Cin
Kevin Coleman Jr.,WR,Mia
Shaleak Knotts,WR,Min
Josh Kelly,WR,Hou
Squirrel White,WR,Chi
Jacob De Jesus,WR,KC
Kendrick Law,WR,Det
Tyren Montgomery,WR,Ten
Luke Wysong,WR,Min
Jakobie Keeney-James,WR,Pit
Hank Beatty,WR,Ten
Trebor Pena,WR,Jax
Junior Bergen,WR,NYJ
Jalen Virgil,WR,Ari
Tay Martin,WR,Det
Corey Rucker,WR,LV
Stephen Gosnell,WR,Buf
Camden Brown,WR,Dal
Kyron Hudson,WR,Chi
JP Richardson,WR,Chi
Tommy Thomas,WR,Den
Dane Key,WR,Den
Cole Burgess,WR,Pit
Tejhaun Palmer,WR,NE
Liam Clifford,WR,LAC
Nick DeGennaro,WR,NE
Xavier Guillory,WR,Bal
Xavier Johnson,WR,Cin
Mekhi Mews,WR,NO
Gary Jennings,WR,LAC
Andrew Armstrong,WR,KC
Elijah Cooks,WR,Car
Mac Dalena,WR,Buf
Jimmy Holiday,WR,KC
Ja'seem Reed,WR,Car
Brandon Hayes,WR,Phi
Trent Taylor,WR,SF
Cornell Powell,WR,Pit
Samori Toure,WR,Phi
Maurice Alexander,WR,Chi
E.J. Williams Jr.,WR,LV
John Rhys Plumlee,WR,Pit
Raylen Sharpe,WR,Ind
Jeff Caldwell,WR,KC
Jonathan Brady,WR,LV
Nick Nash,WR,Was
Jacoby Jones,WR,Was
Colton Dowell,WR,SF
Jared Wayne,WR,Hou
Jalen Moreno-Cropper,WR,NO
Michael Briscoe,WR,Min
Gabriel Benyard,WR,Car
Kolbe Katsis,WR,Den
Mario Williams,WR,LAR
Jimmy Kibble,WR,NE
Jaden Bradley,WR,Was
Kyre Duplessis,WR,Den
Michael Wortham,WR,Jax
Hal Presley III,WR,KC
Quentin Skinner,WR,Buf
Lewis Bond,WR,Hou
DT Sheffield,WR,NYJ
Jalen Royals,WR,KC
Brady Boyd,WR,Jax
Malik Turner,WR,SF
Quez Watkins,WR,Phi
Max Tomczak,WR,Buf
Terrill Davis,WR,Min
Devonte Ross,WR,LAC
Caullin Lacy,WR,NYJ
Dontae Fleming,WR,Min
Chandler Brayboy,WR,Jax
Malik Rutherford,WR,Atl
Roc Taylor,WR,Car
Daniel Sobkowicz,WR,Hou
Mante Morrow,WR,LAC
Cameron Dorner,WR,NE
Brennan Presley,WR,LAR
Will Sheppard,WR,Mia
