"player","pos","yteam","owner","proj","gsis_id"
"Seahawks","DEF","Sea","Locked In Michelle",7.91,NA
"49ers","DEF","SF","Dave’s Bone Crushers",7.05,NA
"Eagles","DEF","Phi","Monday Night Madison",6.96,NA
"Vikings","DEF","Min","Owl Out Blitz",6.7,NA
"Texans","DEF","Hou","Sunday Kevin",6.59,NA
"Steelers","DEF","Pit","Max’s TD Bombers",6.04,NA
"Buccaneers","DEF","TB","Steel City",5.85,NA
"Rams","DEF","LAR","Maybe Mitchell",5.76,NA
"Patriots","DEF","NE","JGrahnasaurs",5.55,NA
"Broncos","DEF","Den","Jason's Jazzy Team",5.32,NA
"Bears","DEF","Chi","Max’s TD Bombers",5.1,NA
"Ravens","DEF","Bal","W (Sep 26)",5.01,NA
"Eddy Pineiro","K","SF","Maybe Mitchell",8.87,"00-0034173"
"Tyler Loop","K","Bal","Owl Out Blitz",8.61,"00-0040074"
"Brandon Aubrey","K","Dal","Locked In Michelle",8.51,"00-0037692"
"Cam Little","K","Jax","Dave’s Bone Crushers",8.44,"00-0039409"
"Ka'imi Fairbairn","K","Hou","Max’s TD Bombers",8.4,"00-0032726"
"Jason Myers","K","Sea","Steel City",8.33,"00-0031492"
"Harrison Mevis","K","LAR","Monday Night Madison",8.31,"00-0039498"
"Will Reichard","K","Min","Sunday Kevin",8.02,"00-0039404"
"Chase McLaughlin","K","TB","JGrahnasaurs",7.7,"00-0035358"
"Cameron Dicker","K","LAC","Jason's Jazzy Team",7.59,"00-0037224"
"Josh Allen","QB","Buf","Dave’s Bone Crushers",23.89,"00-0034857"
"Lamar Jackson","QB","Bal","Maybe Mitchell",22.89,"00-0034796"
"Patrick Mahomes","QB","KC","JGrahnasaurs",20.9,"00-0033873"
"Brock Purdy","QB","SF","Dave’s Bone Crushers",20.56,"00-0037834"
"Dak Prescott","QB","Dal","Max’s TD Bombers",20.21,"00-0033077"
"Jared Goff","QB","Det","Jason's Jazzy Team",19.51,"00-0033106"
"Jalen Hurts","QB","Phi","Max’s TD Bombers",19,"00-0036389"
"Drake Maye","QB","NE","Jason's Jazzy Team",18.92,"00-0039851"
"Joe Burrow","QB","Cin","Locked In Michelle",18.92,"00-0036442"
"Trevor Lawrence","QB","Jax","Sunday Kevin",18.49,"00-0036971"
"Bo Nix","QB","Den","Steel City",17.6,"00-0039732"
"Jordan Love","QB","GB","Locked In Michelle",17.42,"00-0036264"
"Justin Herbert","QB","LAC","Sunday Kevin",17.38,"00-0036355"
"Baker Mayfield","QB","TB","Monday Night Madison",16.66,"00-0034855"
"Matthew Stafford","QB","LAR","JGrahnasaurs",16.65,"00-0026498"
"Bryce Young","QB","Car","Owl Out Blitz",16.38,"00-0039150"
"Sam Darnold","QB","Sea","Monday Night Madison",8.89,"00-0034869"
"Jaxson Dart","QB","NYG","W (Sep 25)",0,"00-0040691"
"Caleb Williams","QB","Chi","Owl Out Blitz",0,"00-0039918"
"Jayden Daniels","QB","Was","Steel City",0,"00-0039910"
"Jahmyr Gibbs","RB","Det","Locked In Michelle",21.28,"00-0039139"
"Christian McCaffrey","RB","SF","Jason's Jazzy Team",18.71,"00-0033280"
"Bijan Robinson","RB","Atl","Dave’s Bone Crushers",17.87,"00-0038542"
"Kenneth Walker III","RB","KC","Max’s TD Bombers",17.65,"00-0038134"
"Derrick Henry","RB","Bal","JGrahnasaurs",16.99,"00-0032764"
"Jonathan Taylor","RB","Ind","Max’s TD Bombers",16.34,"00-0036223"
"De'Von Achane","RB","Mia","Jason's Jazzy Team",15.57,"00-0039040"
"James Cook III","RB","Buf","Sunday Kevin",15.24,"00-0037248"
"Chase Brown","RB","Cin","Steel City",14.5,"00-0038597"
"Breece Hall","RB","NYJ","Maybe Mitchell",14.26,"00-0038120"
"Ashton Jeanty","RB","LV","Max’s TD Bombers",13.99,"00-0040122"
"Chuba Hubbard","RB","Car","Jason's Jazzy Team",13.7,"00-0036555"
"Saquon Barkley","RB","Phi","Monday Night Madison",13.64,"00-0034844"
"Omarion Hampton","RB","LAC","Monday Night Madison",13.37,"00-0040666"
"Javonte Williams","RB","Dal","JGrahnasaurs",13.32,"00-0036997"
